hs4,share_2023_2025,usd_acumulado_2023_2025,usd_promedio_anual,n_ncm,descripcion_top_ncm,ncms_listados
8504,0.0014440242684367365,42540613.07145851,14180204.357152836,18,"Transformadores de dieléctrico líquido,de potencia > a 10000 kVA","85042300,85042100,85049030,85044030,85044022"
2303,0.0014429220134821203,42508140.901457384,14169380.300485795,2,Heces y desperdicios de cervecería o destilería,"23033000,23031000"
8432,0.0014004802738948638,41257817.30141453,13752605.767138176,10,"Partes de máquinas,aparatos y artefactos agrícolas,hortícolas o silvícolas","84329000,84323110,84323190,84322900,84324200"
2918,0.0012794827821566185,37693259.841292314,12564419.947097437,2,"Ácido 2,4-diclorofenoxiacético (2,4-D),sus sales y ésteres","29189912,29181500"
2105,0.0011740947057472077,34588552.061185874,11529517.353728624,2,"Helados incluso c/cacao,en envases <= a 2kg.","21050010,21050090"
9021,0.0011436062390717658,33690369.05115507,11230123.01705169,7,"Artículos y aparatos p/prótesis,ncop.","90213980,90219080,90219089,90211020,90213110"
1517,0.0011350998142948521,33439771.791146487,11146590.59704883,3," Mezclas de aceites refinados, en envases <= a 5 l","15179010,15179090,15171000"
2202,0.0010833493722680126,31915216.021094218,10638405.34036474,2,"Bebidas no alcohólicas excluído todo tipo de agua, suplementos dietarios, preparaciones alimenticias para propósitos médicos específicos, etc","22029900,22021000"
8418,0.0010740069322864238,31639989.95108478,10546663.31702826,7,"Partes de refrigeradores,congeladores y otro material,máquinas y aparatos p/producción de frío o calor excluidos de la partida 8415,ncop.","84189900,84185010,84183000,84186940,84185090"
8409,0.001025644902419097,30215256.001035932,10071752.00034531,18,"Partes de motores de émbolo,de explosión,ncop.","84099190,84099999,84099929,84099120,84099112"
2305,0.000992487599971189,29238449.72100244,9746149.907000814,1,Tortas y residuos sólidos de la extracción del aceite de maní,23050000
8428,0.0009711478677152005,28609786.260980885,9536595.420326961,5,"Máquinas y aparatos de elevación,carga,descarga o manipulación,ncop.","84289090,84283990,84283300,84283910,84282090"
8413,0.0009457387626337116,27861240.04095522,9287080.01365174,16,"Bombas volumétricas rotativas,de engranajes,de caudal <= a 300l./min.","84136011,84139190,84137080,84137090,84135010"
8527,0.0009258179077003476,27274376.370935105,9091458.790311702,2,"Aparatos receptores de radiodifusión para automóviles, que solo funcionan con fuente de energía exterior, combinados con grabador o reproductor de sonido","85272100,85272900"
1206,0.0009013745177796423,26554279.890910424,8851426.630303474,2," Semillas de girasol, incluso quebrantadas, excluidas para siembra","12060090,12060010"
3923,0.0008657040712381749,25503436.98087439,8501145.660291463,11,"Tapones,tapas,cápsulas y otros dispositivos de cierre,de plástico","39235000,39232190,39239090,39239000,39232110"
4009,0.0008283388432559119,24402666.210836653,8134222.070278885,12,"Tubos de caucho vulcanizado,s/endurecer,reforzados y combinados de otro modo solamente c/materia textil,s/accesorios","40093100,40093290,40091100,40091290,40094100"
8544,0.0008208162573427973,24181052.61082905,8060350.8702763505,7, Juegos de cables para bujías de encendido y otros juegos de cables utilizados en los medios de transporte,"85443000,85444200,85446000,85444900,85441919"
1702,0.0007876877935516328,23205095.91079559,7735031.970265197,3,Jarabe de fructosa c/contenido > a 50%,"17026020,17023020,17029000"
1003,0.0007813361366005622,23017977.600789174,7672659.200263058,3," Cebada en grano, excluida cervecera","10039080,10039010,10031000"
9018,0.0007769285981246213,22888132.56078472,7629377.520261574,15,"Sondas,catéteres y cánulas,ncop.","90183929,90189099,90183999,90183219,90182090"
9019,0.0007168507293649432,21118252.770724043,7039417.590241347,4,Aparatos de oxigenoterapia,"90192010,90191000,90192090,90192030"
1104,0.0007119596449120395,20974162.5807191,6991387.526906366,1," Granos de maíz mondados, troceados, perlados o quebrantados",11042300
1901,0.000699083039732663,20594820.840706095,6864940.280235365,5,"Mezclas y pastas para la preparación de productos de panadería, pastelería o galletitería, de la partida 19,05, n.c.o.p.","19012090,19019020,19019090,19012000,19012010"
0207,0.0005386058831282158,15867201.80054401,5289067.2668480035,9," Trozos y despojos de gallos o gallinas, congelados","02071400,02071413,02071424,02071411,02071434"
0206,0.000496934054684182,14639559.600501921,4879853.200167308,9,Despojos de la especie bovina ncop.congelados,"02062990,02062910,02062200,02064900,02068000"
8807,0.000491463509702105,14478398.640496394,4826132.880165464,1,"Partes de aviones, helicópteros o aeronaves no tripuladas, n.c.o.p.",88073000
0703,0.0004619190302463681,13608025.270466553,4536008.423488851,3," Ajos frescos o refrigerados, excluidos para siembra","07032090,07031019,07032010"
3917,0.0004147370078254493,12218054.0604189,4072684.6868063,13,"Tubos de plástico,s/reforzar ni combinar c/otra materia,ncop.,s/accesorios","39173290,39172900,39174090,39173300,39173900"
8529,0.0003892896196800209,11468380.030393194,3822793.3434643983,5,"Partes p/los aparatos de las partidas 8525 a 8528,ncop.","85299090,85291019,85291090,85299011,85299040"
1602,0.0003716974328159327,10950118.370375423,3650039.4567918074,2,Preparaciones bovinas,"16025000,16024900"
3004,0.0003695771079009683,10887654.100373283,3629218.033457761,20,"Medicamentos c/penicilinas o derivados,ncop.,acondicionados p/la venta por menor","30041019,30049039,30049029,30049099,30042019"
8716,0.000363128457977615,10697678.400366768,3565892.800122256,6,"Remolques y semirremolques,autocargadores o autodescargadores p/uso agrícola","87162000,87169090,87163900,87164000,87168000"
8422,0.0003440964099155458,10136998.770347547,3378999.590115849,6,Llenadora de cajas o sacos(bolsas) c/polvos o granulados,"84223021,84224090,84229090,84223030,84223029"
8421,0.00030202541872530447,8897597.330305055,2965865.776768352,15,Aparatos p/filtrar o depurar agua,"84212100,84211210,84212990,84213990,84219999"
1516,0.00030096845198257434,8866459.340303987,2955486.446767996,2,"Grasas y aceites animales hidrogenados,interesterificados,reesterificados o elaidinizados","15161000,15162000"
2811,0.0003006927023123515,8858335.82030371,2952778.6067679035,1,Dióxido de carbono,28112100
8424,0.00029460608754558937,8679025.590297561,2893008.530099187,7,Pulverizadores no portátiles para agricultura u horticultura,"84244900,84248990,84249090,84243010,84243090"
8481,0.000291657839140673,8592170.890294584,2864056.9634315274,14,"Artículos de grifería y órganos similares para tuberías,calderas,depósitos,cubas o continentes similares,ncop.","84818099,84812090,84819090,84818092,84811000"
1502,0.00028415023569691223,8370998.670287002,2790332.8900956674,2,"Sebo bovino,fundido","15021012,15029000"
0701,0.00027496262621962413,8100333.87027772,2700111.2900925735,2,Papas frescas o refrigeradas excluidas p/siembra,"07019000,07011000"
8501,0.00027445880411230007,8085491.3902772125,2695163.796759071,10,"Motores de corriente alterna,monofásicos,excluidos síncronos,de potencia <= a 15 kW","85014019,85013110,85017210,85013210,85015210"
8426,0.0002602530799691119,7666994.120262862,2555664.7067542877,5,Maquinas y aparatos de elevación concebidos p/montarlos s/vehículos de carreteras,"84269100,84269900,84261100,84261900,84261200"
0504,0.000260206636282903,7665625.900262817,2555208.633420939,3,Vejigas y estómagos de animales excluidos pescados,"05040090,05040011,05040019"
8450,0.00025879488970326,7624036.180261391,2541345.393420464,3,"Máquinas totalmente automáticas,p/lavar ropa de capacidad <= a 10 kg.","84501100,84501900,84509090"
7309,0.00025579050642766677,7535527.760258357,2511842.5867527854,2,"Cisternas,cubas y similares capacidad > a 300l.excluidas p/gases,de fundición,hierro o acero,ncop.","73090090,73090010"
8707,0.0002402776672313769,7078523.190242688,2359507.730080896,3,"Carrocerías incluidas las cabinas de vehículos automóviles,ncop.","87079090,87071000,87079010"
6116,0.00022699938265284555,6687348.070229278,2229116.023409759,4,"Guantes,mitones y manoplas ncop.de punto,de fibras sintéticas","61169300,61169900,61169200,61161000"
1515,0.00022104109681963255,6511818.380223259,2170606.1267410866,2, Aceite de maíz en bruto,"15152100,15153000"
4819,0.00021496322482510003,6332765.710217119,2110921.9034057064,6,"Otros envases incluidas fundas p/discos,de papel,cartón guata o napa de fibras de celulosa,ncop.","48195000,48194000,48191000,48192000,48196000"
7801,0.00020977735999913626,6179991.360211881,2059997.120070627,2,"Plomo excluido refinado,c/antimonio como el otro elemento predominante en peso","78019100,78011090"
2101,0.00019628168059816637,5782411.8401982505,1927470.613399417,2,"Extractos,esencias y concentrados de yerba mate","21012020,21012010"
7326,0.00018868327330178673,5558564.560190577,1852854.853396859,3,Manufacturas de hierro o acero ncop.,"73269090,73262000,73261900"
1207,0.00018684844525010971,5504510.960188722,1834836.9867295742,4,Semilla de sésamo excluida p/siembra,"12074090,12079990,12072900,12072100"
8474,0.00017979753828036786,5296792.910181601,1765597.6367272001,7,Hormigoneras y aparatos de amasar mortero,"84743100,84749000,84748090,84741000,84742090"
3824,0.00017178242091414202,5060669.450173506,1686889.8167245018,8,Carburos metálicos s/aglomerar mezclados entre sí o c/aglutinantes metálicos,"38243000,38249977,38249979,38249989,38245000"
2929,0.00017043154922969113,5020873.090172142,1673624.363390714,1,Mezcla de isomeros de diisocianatos de tolueno,29291021
8431,0.00016583204010032964,4885372.640167496,1628457.5467224987,10,"Partes de máquinas o aparatos de la partida 84.28,ncop.","84313900,84314310,84314390,84314100,84314929"
8423,0.000164259896101315,4839057.650165908,1613019.2167219692,8,Dosificadoras c/equipos periféricos que constituyan unidad funcional,"84233011,84238110,84238190,84233019,84238200"
8701,0.00016086302358867845,4738986.5901624765,1579662.1967208255,6,"Tractores ncop., con motor de potencia > a 130 kW, excepto los de 8701.95.10","87019590,87012000,87012100,87019490,87019300"
8479,0.0001604382442075479,4726472.690162048,1575490.8967206827,8, Otras máquinas y aparatos mecánicos con función propia n.c.o.p.,"84798999,84791090,84799090,84798912,84792000"
3002,0.0001600333933640329,4714545.880161639,1571515.293387213,5,"Inmunoglobulina G, liofilizada o en solución","30021235,30021236,30024999,30021239,30029099"
3401,0.00015053224640435614,4434644.340152042,1478214.7800506807,4,"Jabón de tocador excluido medicinal,en panes o similares,papel,guatas o telas s/tejer impregnadas en él","34011190,34012010,34011900,34012090"
2905,0.00014952061912986393,4404842.0401510205,1468280.6800503402,1, Glicerol,29054500
2102,0.00014421168169229454,4248442.000145658,1416147.333381886,1,Levaduras vivas excluida la saccharomyces boulardii,21021090
8512,0.000141857460464505,4179087.200143281,1393029.066714427,9,Faros eléctricos p/vehículos excluidas bicicletas,"85122011,85122023,85122019,85122021,85129000"
9306,0.0001372875914239895,4044459.9401386655,1348153.3133795552,1,"Partes de cartuchos p/armas largas c/cañón de ánima lisa,balines p/rifles aire comprimido",93062900
9031,0.0001357155865978516,3998149.0501370765,1332716.3500456922,9,Instrumentos y aparatos o máquinas de medida o control ncop.,"90318099,90312010,90311000,90319090,90314990"
8803,0.00013416621739150556,3952505.000135512,1317501.6667118373,1,,88033000
0511,0.00013388890593004848,3944335.4701352324,1314778.4900450774,3,"Productos de origen animal,de los capítulos 1 y 3 ncop.","05119999,05119910,05119991"
0403,0.00013299119810466882,3917889.2101343255,1305963.0700447753,2,Leches y cremas fermentadas excluido el yogur,"04039000,04032000"
8419,0.0001304775180258107,3843836.7901317864,1281278.9300439288,11,Aparatos de destilación o rectificación de alcoholes y demás fluidos volátiles y los de hidrocarburos,"84194020,84198190,84199090,84194090,84195021"
8207,0.00012548288148477602,3696695.980126742,1232231.9933755808,7,"Útiles de embutir,estampar o punzonar,de metal común","82073000,82075011,82078000,82072000,82079000"
2301,0.00011960774261983716,3523615.7801208077,1174538.5933736025,2,"Harina,polvo y ""pellets"" de carne,excluidos p/alimentación humana","23011010,23011090"
1209,0.00011845033345415663,3489518.780119639,1163172.9267065462,3,Otras semillas forrajeras ncop.p/siembra,"12092900,12099100,12092100"
1103,0.0001175715762223487,3463630.8001187514,1154543.6000395839,2,Grañones y sémola de maíz,"11031300,11031100"
8477,0.00011683007162105923,3441786.2501180023,1147262.0833726674,4,Máquinas extrusoras p/materiales termoplásticos c/diámetro de tornillo de hasta 300mm.,"84772010,84778090,84779000,84775100"
0810,0.00011603388837260839,3418330.880117198,1139443.6267057327,1,Otros frutos frescos ncop.,08109090
6810,0.00011379019994078122,3352232.350114931,1117410.7833716436,4,"Tejas,baldosas y losas de cemento,hormigón o piedra artificial","68101900,68109100,68109900,68101100"
3921,0.00011359870145680355,3346590.8501147376,1115530.2833715794,5,"Placas,láminas,hojas y tiras de resina va melamina-formaldehído estratificada","39219011,39219019,39211900,39211390,39211200"
2007,0.0001129048072177657,3326148.8901140383,1108716.2967046793,3,Jaleas y mermeladas,"20079910,20079990,20079100"
8434,0.00010439518723526881,3075457.5001054425,1025152.5000351474,3,"Máquinas y aparatos p/la industria lechera,ncop.","84342090,84349000,84342010"
7007,0.00010272549051745,3026268.6301037557,1008756.2100345853,4,"Vidrio de seguridad contrachapado p/automóviles,barcos,aeronaves u otros vehículos","70072100,70071100,70071900,70072900"
8483,9.435656922167888e-05,2779722.190095303,926574.063365101,16,Engranajes y ruedas de fricción y otros órganos de transmisión ncop.,"84834090,84834010,84832000,84833029,84839000"
7320,9.243871877842483e-05,2723222.7700933665,907740.9233644555,4,Ballestas y sus hojas de hierro o acero,"73201000,73202010,73209000,73202090"
3926,8.338650210679709e-05,2456546.610084223,818848.8700280744,9," Manufacturas de plástico, y manufacturas de polímeros de etileno y de polímeros naturales n.c.o.p.","39269090,39263000,39269069,39269022,39269010"
8515,8.245465008305468e-05,2429094.4700832823,809698.1566944275,1,"Máquinas y aparatos p/soldar metal por resistencia,total o parcialmente automáticos",85152100
3925,7.710241222961512e-05,2271418.8100778763,757139.6033592921,3,"Artículos p/la construcción de plástico,ncop.","39259090,39251000,39259010"
0909,7.705581918714814e-05,2270046.190077829,756682.0633592763,3,Semillas de cilantro s/triturar ni  pulverizar,"09092100,09092200,09093200"
1102,7.146125352067342e-05,2105231.6100721783,701743.8700240594,2,Harina de maíz,"11022000,11029000"
2529,7.125863783940998e-05,2099262.600071973,699754.200023991,2,Espato flúor c/fluoruro de calcio <= a 97 %,"25292100,25292200"
9403,6.642356673550073e-05,1956822.5500670902,652274.1833556967,14,"Muebles de madera excluido los utilizados en oficinas,cocinas y dormitorios","94036000,94032090,94039900,94032000,94033000"
9401,6.427771242324566e-05,1893606.1900649227,631202.0633549743,11,"Partes de asientos (excepto los de la partida 94.02), n.c.o.p.","94019900,94019090,94018000,94012000,94016900"
3402,6.424258179468804e-05,1892571.250064887,630857.0833549624,7,Detergentes ncop.,"34029039,34029029,34029090,34025000,34022000"
8536,6.274693874991259e-05,1848509.9600633762,616169.9866877921,11,"Aparatos interruptores,seccionadores y conmutadores,p/una tensión <= a 1000 voltios,ncop.","85365090,85364100,85369090,85361000,85366990"
1008,5.644719260298585e-05,1662920.9300570132,554306.9766856711,8,Mijo excluido mijo perla y p/siembra,"10082990,10089090,10083090,10089010,10082190"
2005,5.568035005197289e-05,1640329.930056239,546776.6433520797,2," Aceitunas preparadas o conservadas sin vinagre o ácido acético, sin congelar","20057000,20052000"
4823,5.4875710523750966e-05,1616625.440055426,538875.146685142,3,"Papeles,cartones,guata y napas de fibras de celulosa cortados en formato,artículos de pasta de papel,papel,cartón,gata de celulosa o napas de fibras de celulosa,ncop.","48239099,48236900,48237000"
2808,5.4058438511116704e-05,1592548.800054601,530849.6000182003,1,Ácido nítrico,28080010
1208,5.345789023609803e-05,1574856.7900539944,524952.2633513315,2,Harina de porotos de soja,"12081000,12089000"
1205,5.3059928789429286e-05,1563132.940053592,521044.3133511974,2,Semillas de nabo o colza c/bajo contenido de ácido erúcico excluido p/siembra,"12051090,12059090"
1902,5.249168797024603e-05,1546392.7000530185,515464.2333510061,4,"Pastas alimenticias rellenas,incluso cocidas","19022000,19021900,19023000,19021100"
8412,5.10586601605144e-05,1504176.0400515709,501392.01335052366,7,Motores hidráulicos excluidos c/movimiento rectilíneo,"84122900,84122110,84122190,84123110,84129090"
1521,5.0371931287953996e-05,1483945.1700508767,494648.39001695893,2, Cera de abeja en bruto,"15219011,15219019"
3602,4.998981110912232e-05,1472688.0000504912,490896.0000168304,1,Explosivos preparados excluidas pólvoras,36020000
4811,4.9831386550140425e-05,1468020.8500503313,489340.28335011046,7,"Papel y cartón recubiertos,impregnados o revestidos de cera,parafina,estearina,aceite o glicerol","48116090,48115929,48119090,48114190,48115930"
4016,4.826301413608629e-05,1421816.970048747,473938.99001624907,4,Juntas o empaquetaduras de caucho vulcanizado s/endurecer,"40169300,40169990,40161010,40169100"
7318,4.812595193479681e-05,1417779.1500486094,472593.0500162031,11,"Tornillos,pernos,incluidos c/tuercas y arandelas,roscados,de fundición,hierro o acero,ncop.","73181500,73182200,73181600,73182900,73182400"
8437,4.749982436391952e-05,1399333.5800479762,466444.52668265876,4,"Máquinas p/limpieza,clasificación o cribado de semillas,granos u hortalizas de vainas secas","84371000,84379000,84378090,84378010"
2006,4.6986055469258724e-05,1384198.0700474575,461399.35668248584,1,"Hortalizas,frutas y partes,confitadas c/azúcar",20060000
8209,4.3727047268906376e-05,1288188.460044166,429396.1533480553,2,"Plaquitas,pastillas de cermet,excluidas intercambiables","82090019,82090011"
8436,4.0969390348146364e-05,1206948.5400413803,402316.18001379346,4,"Máquinas y aparatos p/agricultura,horticultura,silvicultura,avicultura o apicultura,ncop.","84368000,84361000,84369900,84369100"
2915,4.065967638596241e-05,1197824.440041067,399274.81334702234,1,Ácido acético,29152100
9504,4.0165906973139766e-05,1183278.1100405685,394426.03668018954,3," Juegos activados con monedas, billetes de banco, tarjetas bancarias, fichas o cualquier otro medio de pago, excluido juegos de bolos automáticos y billares","95043000,95044000,95049090"
8208,3.9094936044545994e-05,1151727.5600394872,383909.186679829,4,"Cuchillas y hojas cortantes,de metal común,p/máquinas agrícolas,hortícolas o forestales","82084000,82089000,82081000,82083000"
8101,3.799694487164998e-05,1119381.0000383782,373127.0000127927,1,Polvo de volframio,81011000
4805,3.6606839674345e-05,1078428.830036974,359476.27667899133,4,"Papel y cartón ""Testliner""(de fibras recicladas),en bobinas u hojas,de peso > a 150 g/cm2.","48052500,48051900,48052400,48059100"
2209,3.630618179308641e-05,1069571.5200366701,356523.8400122234,1,Vinagre y sucedáneos del vinagre obtenidos a partir de ácido acético,22090000
5201,3.531392500691855e-05,1040339.8700356679,346779.956678556,1," Algodón sin cardar ni peinar, simplemente desmotado",52010020
0505,3.379185337229018e-05,995500.0000341309,331833.3333447103,1,"Pieles y plumas de aves,excluidas las utilizadas p/relleno",05059000
9029,3.3337074089510266e-05,982102.3100336716,327367.4366778905,2,"Partes y accesorios de cuentarrevoluciones,contadores de producción,taxímetros,cuentakilómetros,contadores similares y estroboscopios excluido velocímetros y tacómetros","90299090,90292010"
8407,3.2855544082584606e-05,967916.5500331852,322638.8500110617,1," Motores de émbolo (pistón) alternativo, de cilindrada > a 1.000 cm3, de los tipos utilizados para la propulsión de vehículos terrestres, excluidos monocilíndricos",84073490
9506,3.273284893497648e-05,964301.980033061,321433.9933443536,5,"Artículos p/deporte o juegos al aire libre ncop.,piscinas incluso infantiles","95069900,95069100,95066900,95064000,95066200"
3504,2.9637369204277124e-05,873109.8800299348,291036.62667664496,1,Peptonas y peptonatos,35040011
1904,2.8710143830072257e-05,845794.0400289982,281931.3466763327,4,"Productos a base de cereales,inflados o tostados","19041000,19049000,19043000,19042000"
9026,2.8324649897039998e-05,834437.4800286088,278145.82667620294,9,"Instrumentos p/medir o controlar el caudal de líquidos,ncop.","90261019,90269090,90262090,90269020,90261029"
2849,2.799646463909406e-05,824769.2200282773,274923.0733427591,1,Carburo de volframio,28499030
0203,2.7366134047338288e-05,806199.8300276406,268733.2766758802,2,"Carne porcina,congelada,ncop.","02032900,02032200"
8302,2.715141405970217e-05,799874.2300274238,266624.7433424746,8,"Guarniciones,herrajes y artículos similares,p/vehículos automóviles,de metal común","83023000,83026000,83021000,83025000,83024100"
4101,2.6984017941859096e-05,794942.7800272547,264980.9266757516,2," Cueros y pieles en bruto, de bovino, de equino (frescos o salados, secos, encalados, piquelados o conservados de otro modo, sin curtir, apergaminar ni preparar de otra forma), enteros, de peso unitario > a 16 kg sin dividir","41015010,41012000"
8538,2.6429051499551535e-05,778593.6000266942,259531.2000088981,3,"Circuitos impresos c/componentes eléctricos o electrónicos p/aparatos de corte,seccionamiento,protección,empalme,conexión,control o distribución electricidad","85389010,85389090,85381000"
0811,2.584437741863587e-05,761369.2400261036,253789.74667536785,1,Frutas ncop.congeladas,08119000
7604,2.5496393291461953e-05,751117.7100257522,250372.57000858407,4,Perfiles huecos de aleaciones de aluminio,"76042100,76042920,76041021,76041029"
8113,2.5461042362423776e-05,750076.2800257164,250025.42667523882,2,"Otras manufacturas ncop.,desperdicios y desechos de cermets","81130090,81130010"
8608,2.5256774257833228e-05,744058.5900255103,248019.53000850344,2,"Aparatos electromecánicos de señalización,seguridad,control o mando p/vías férreas,fluviales,carreteras,áreas de estacionamiento,puertos o aeropuertos","86080012,86080090"
0910,2.3699910761796043e-05,698193.7600239377,232731.25334131258,3,Otras especias ncop.,"09109900,09109100,09102000"
2827,2.3686449010705753e-05,697797.1800239241,232599.0600079747,1,Hidroxicloruros de aluminio,28274921
9032,2.319642843995888e-05,683361.2900234292,227787.09667447637,12,Reguladores de voltaje electrónicos,"90328911,90328919,90328929,90328925,90329010"
3808,2.265939119808598e-05,667540.3000228866,222513.43334096222,5,"Insecticidas ncop.,acondicionados p/la venta por menor","38089199,38089429,38089419,38089299,38089219"
