firm_id,firm_name,razon_social,firm_type,registry_rubros,products_text,classification,code,code_label,in_opex,opex_line,opex_line_name,attribution_type,confidence,evidence,source_url
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1007,,yes,106C,Sorgo granífero,clean,high,keyword 'SORGO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1201,,yes,107A,Soja,clean,high,keyword 'SOJA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1206,,yes,107B,Girasol,clean,high,keyword 'GIRASOL' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1202,,yes,107D,Maní,clean,high,keyword 'MANÍ CONFITERÍA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,2923,,yes,302B,Productos químicos orgánicos,broad-chapter,high,keyword 'LECITINA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
4314,ACEITES DEL DESIERTO,GRUPO ACEITES DEL DESIERTO SRL,goods,Aceites; Harinas,HARINA DE NUEZ; HARINA DE ALMENDRA; HARINA DE PISTACHO; ACEITE DE MANÍ; ACEITE DE SÉSAMO; ACEITE DE SÉSAMO TOSTADO; ACEITE DE NUEZ; ACEITE DE ALMENDRA; ACEITE DE NUEZ PECAN; ACEITE DE PISTACHO,HS4,1508,,yes,208AC,Aceite de maní,clean,high,keyword 'ACEITE DE MANÍ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4314
4314,ACEITES DEL DESIERTO,GRUPO ACEITES DEL DESIERTO SRL,goods,Aceites; Harinas,HARINA DE NUEZ; HARINA DE ALMENDRA; HARINA DE PISTACHO; ACEITE DE MANÍ; ACEITE DE SÉSAMO; ACEITE DE SÉSAMO TOSTADO; ACEITE DE NUEZ; ACEITE DE ALMENDRA; ACEITE DE NUEZ PECAN; ACEITE DE PISTACHO,HS4,0802,,no (confidential),19899,Productos primarios (confidencial),confidential,high,keyword 'ALMENDRA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4314
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,goods,Aceites; Aceitunas,ACEITE DE OLIVA; ACEITUNAS,HS4,1509,,yes,208Z,Resto grasas y aceites,resto,high,keyword 'aceite de oliva' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2037
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,goods,Aceites; Aceitunas,ACEITE DE OLIVA; ACEITUNAS,HS4,2005,,yes,210Z,"Resto preparados de legumbres, hortalizas y frutas",resto,high,keyword 'aceitunas' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2037
3597,AFENSIS,SAF AMERICAS S.R.L.,mixed,"Arquitectura, Diseño e Ingeniería; Diseño Industrial; Instrumentos y Aparatos",INGENIERÍA; AUTOMATIZACIÓN INDUSTRIAL; AFENSIS,EBOPS,SJ.234,"Architectural, engineering, technical (industrial design)",n/a (services),,,service,medium,"rubro-based mapping to EBOPS 2010 (Architectural, engineering, technical (industrial design))",https://www.exportadoresdecordoba.com/single.php?search=3597
5136,AGDI AGROEFICIENCIA,VELEZ JUAN PABLO,service,"Agtech; I+D, Consultores; Internacionalización de Educación",CURSO: USO DE IMÁGENES SATELITALES Y MAPAS DE RENDIMIENTO; CURSO: ANÁLISIS DE ENSAYO: EL USO DE DATOS PARA MEJORAR EL RENDIMIENTO DE LA PRODUCCIÓN AGRÍCOLA; AGRICULTURA DE PRECISIÓN; CURSO: SEMBRÁ TU LOGO; CURSO: MAPAS DE COMPACTACIÓN DE SUELO: CÓMO GENERARLOS Y APLICARLOS DE MANERA EFICIENTE; ASESORAMIENTO EN AGRICULTURA DE PRECISIÓN,EBOPS,SI.4,Computer services (agtech),n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Computer services (agtech)),https://www.exportadoresdecordoba.com/single.php?search=5136
4219,AGENCIA NOMBRE,ROBREDO MARTIN,service,Marketing y Publicidad Digital,MARKETING DIGITAL; DISEÑO WEB; BRANDING; DISEÑO GRÁFICO,EBOPS,SJ.29,Other business services n.i.e.,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Other business services n.i.e.),https://www.exportadoresdecordoba.com/single.php?search=4219
4124,AGENCIA PROGRAMARTE / TRIZAP,AGENCIA PROGRAMARTE S.A.S,service,Software y Tecnología,DESARROLLO DE SOFTWARE,EBOPS,SI,"Telecommunications, computer, information",n/a (services),,,service,medium,"rubro-based mapping to EBOPS 2010 (Telecommunications, computer, information)",https://www.exportadoresdecordoba.com/single.php?search=4124
3988,AGRÍCOLA PIQUILLÍN,AGRICOLA PIQUILLIN SRL,goods,Cereales; Oleaginosas,MAÍZ; SOJA,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=3988
3988,AGRÍCOLA PIQUILLÍN,AGRICOLA PIQUILLIN SRL,goods,Cereales; Oleaginosas,MAÍZ; SOJA,HS4,1201,,yes,107A,Soja,clean,high,keyword 'SOJA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=3988
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,goods,Oleaginosas; Otros Productos Alimenticios,MANÍ CRUDO; GIRASOL; MANÍ BLANCHEADO,HS4,1206,,yes,107B,Girasol,clean,high,keyword 'girasol' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4973
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,goods,Oleaginosas; Otros Productos Alimenticios,MANÍ CRUDO; GIRASOL; MANÍ BLANCHEADO,HS4,1202,,yes,107D,Maní,clean,high,keyword 'MANÍ CRUDO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4973
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,goods,Oleaginosas; Otros Productos Alimenticios,MANÍ CRUDO; GIRASOL; MANÍ BLANCHEADO,HS4,0713,,yes,104C,Legumbres,clean,high,keyword 'poroto' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4973
2098,AGRO TRANSPORTES S.A.,AGRO TRANSPORTES S A,goods,Oleaginosas,MANÍ CONFITERÍA; MANÍ PARTIDO; MANÍ BLANCHEADO,HS4,1202,,yes,107D,Maní,clean,high,keyword 'MANÍ CONFITERÍA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2098
367,AGROMEC SA,AGROMEC S A,goods,Envasadoras; Maquinaria agrícola y partes; Maquinaria para la Industria Alimenticia; Transporte terrestre y Partes,EMBOLSADORA DE GRANOS AB (EGS 900); EMBOLSADORA DE GRANOS AB; TRANSPORTADOR DE ROLLOS HIDRÁULICO - T.R.H. MEGA 6; RECOLECTOR Y ESTIBADOR DE MEGAFARDO R.E.M 14; PALA MILENIUM 200; RASTRILLO LATERAL (SUPER 98); MEZCLADOR DISTRIBUIDOR; CARGADORA DE GRANOS AB (C.M.R. 3000); ACOPLADO TOLVA AUTODESC. (SUPER 2000 12/14TN 18/20 TN); ACOPLADO MIXER VERTICAL-DISTRIBUIDOR M.V.D. 14 M3 C/ACC.,HS4,8428,,yes,312AF,"Máquinas para elevación, carga y descarga",named-aggregate,high,keyword 'TRANSPORTADOR' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,goods,Envasadoras; Maquinaria agrícola y partes; Maquinaria para la Industria Alimenticia; Transporte terrestre y Partes,EMBOLSADORA DE GRANOS AB (EGS 900); EMBOLSADORA DE GRANOS AB; TRANSPORTADOR DE ROLLOS HIDRÁULICO - T.R.H. MEGA 6; RECOLECTOR Y ESTIBADOR DE MEGAFARDO R.E.M 14; PALA MILENIUM 200; RASTRILLO LATERAL (SUPER 98); MEZCLADOR DISTRIBUIDOR; CARGADORA DE GRANOS AB (C.M.R. 3000); ACOPLADO TOLVA AUTODESC. (SUPER 2000 12/14TN 18/20 TN); ACOPLADO MIXER VERTICAL-DISTRIBUIDOR M.V.D. 14 M3 C/ACC.,HS4,8436,,yes,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,high,keyword 'MIXER VERTICAL' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,goods,Envasadoras; Maquinaria agrícola y partes; Maquinaria para la Industria Alimenticia; Transporte terrestre y Partes,EMBOLSADORA DE GRANOS AB (EGS 900); EMBOLSADORA DE GRANOS AB; TRANSPORTADOR DE ROLLOS HIDRÁULICO - T.R.H. MEGA 6; RECOLECTOR Y ESTIBADOR DE MEGAFARDO R.E.M 14; PALA MILENIUM 200; RASTRILLO LATERAL (SUPER 98); MEZCLADOR DISTRIBUIDOR; CARGADORA DE GRANOS AB (C.M.R. 3000); ACOPLADO TOLVA AUTODESC. (SUPER 2000 12/14TN 18/20 TN); ACOPLADO MIXER VERTICAL-DISTRIBUIDOR M.V.D. 14 M3 C/ACC.,HS4,8437,,yes,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,high,keyword 'EMBOLSADORA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,goods,Envasadoras; Maquinaria agrícola y partes; Maquinaria para la Industria Alimenticia; Transporte terrestre y Partes,EMBOLSADORA DE GRANOS AB (EGS 900); EMBOLSADORA DE GRANOS AB; TRANSPORTADOR DE ROLLOS HIDRÁULICO - T.R.H. MEGA 6; RECOLECTOR Y ESTIBADOR DE MEGAFARDO R.E.M 14; PALA MILENIUM 200; RASTRILLO LATERAL (SUPER 98); MEZCLADOR DISTRIBUIDOR; CARGADORA DE GRANOS AB (C.M.R. 3000); ACOPLADO TOLVA AUTODESC. (SUPER 2000 12/14TN 18/20 TN); ACOPLADO MIXER VERTICAL-DISTRIBUIDOR M.V.D. 14 M3 C/ACC.,HS4,8716,,yes,313BB,Vehículos automóviles terrestres,broad-chapter,high,keyword 'ACOPLADO TOLVA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=367
5036,AGROPECUARIA VILLA DOLORES SA,AGROPECUARIA VILLA DOLORES S A,goods,Hortalizas / Legumbres / Hierbas,PAPAS PARA SIEMBRA; PAPAS,HS4,0701,,no (confidential),19899,Productos primarios (confidencial),confidential,high,keyword 'papas' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5036
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,goods,Alimentación animal; Residuos Alimenticios,MAÍZ PARTIDO; SOJA DESACTIVADA; EXPELLER DE SOJA,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5303
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,goods,Alimentación animal; Residuos Alimenticios,MAÍZ PARTIDO; SOJA DESACTIVADA; EXPELLER DE SOJA,HS4,1201,,yes,107A,Soja,clean,high,keyword 'SOJA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5303
1718,AIMURAI S.A.,AIMURAI SA,goods,Aceites; Aceitunas,ACEITE DE OLIVA EXTRA VIRGEN; ACEITUNAS,HS4,1509,,yes,208Z,Resto grasas y aceites,resto,high,keyword 'aceite de oliva' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1718
1718,AIMURAI S.A.,AIMURAI SA,goods,Aceites; Aceitunas,ACEITE DE OLIVA EXTRA VIRGEN; ACEITUNAS,HS4,2005,,yes,210Z,"Resto preparados de legumbres, hortalizas y frutas",resto,high,keyword 'oliva' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1718
3022,AIRSAT,GRAPE SA,service,Software y Tecnología; Telecomunicaciones,SOPORTE DE INFRAESTRUCTURA TECNOLÓGICA; INFRAESTRUCTURA DE COMUNICACIONES; CIBERSEGURIDAD,EBOPS,SI.1,Telecommunications,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Telecommunications),https://www.exportadoresdecordoba.com/single.php?search=3022
2707,AKRON,AKRON S.A.,goods,Maquinaria agrícola y partes,EMBOLSADORA DE GRANOS SECOS; EXTRACTORA DE GRANOS SECOS; ESPARCIDOR DE ENMIENDAS ORGÁNICAS; MIXER VERTICAL; TOLVA  AUTODESCARGABLE; ACOPLADO PARA SEMILLAS Y FERTILIZANTES; CAJA COMPACTADORA,HS4,8436,,yes,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,high,keyword 'MIXER VERTICAL' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2707
2707,AKRON,AKRON S.A.,goods,Maquinaria agrícola y partes,EMBOLSADORA DE GRANOS SECOS; EXTRACTORA DE GRANOS SECOS; ESPARCIDOR DE ENMIENDAS ORGÁNICAS; MIXER VERTICAL; TOLVA  AUTODESCARGABLE; ACOPLADO PARA SEMILLAS Y FERTILIZANTES; CAJA COMPACTADORA,HS4,8437,,yes,312AL,Otras máquinas y aparatos mecánicos,broad-chapter,high,keyword 'EMBOLSADORA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2707
2707,AKRON,AKRON S.A.,goods,Maquinaria agrícola y partes,EMBOLSADORA DE GRANOS SECOS; EXTRACTORA DE GRANOS SECOS; ESPARCIDOR DE ENMIENDAS ORGÁNICAS; MIXER VERTICAL; TOLVA  AUTODESCARGABLE; ACOPLADO PARA SEMILLAS Y FERTILIZANTES; CAJA COMPACTADORA,HS4,8716,,yes,313BB,Vehículos automóviles terrestres,broad-chapter,high,keyword 'ACOPLADO PARA SEMILLAS' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2707
2448,AKWEL CORDOBA ARGENTINA SA,MGI COUTIER ARGENTINA S.A.,goods,Plásticos y Derivados,SOPORTE CAJA FUSIBLE; CONDUCTOS; MANIJAS DE APERTURA INTERNA; MANIJAS DE APERTURA EXTERNA; TAPA DE VALVULA; RESERVORIOS Y TUBOS; TAPA DE COMBUSTIBLE; CUBIERTA DE CILINDROS; COBERTOR DE CORREA DE DISTRIBUCION,HS4,4011,,yes,304,Cauchos y sus manufacturas,broad-chapter,high,keyword 'CUBIERTA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2448
2403,ALEMAR SA / FUNNY,ALEMAR S.A.,goods,Cereales; Hortalizas / Legumbres / Hierbas,POROTO MUNG; CORIANDRO; CILANTRO; MAÍZ PISINGALLO,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ PISINGALLO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2403
2403,ALEMAR SA / FUNNY,ALEMAR S.A.,goods,Cereales; Hortalizas / Legumbres / Hierbas,POROTO MUNG; CORIANDRO; CILANTRO; MAÍZ PISINGALLO,HS4,0713,,yes,104C,Legumbres,clean,high,keyword 'POROTO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2403
2403,ALEMAR SA / FUNNY,ALEMAR S.A.,goods,Cereales; Hortalizas / Legumbres / Hierbas,POROTO MUNG; CORIANDRO; CILANTRO; MAÍZ PISINGALLO,HS4,0909,,no (confidential),19899,Productos primarios (confidencial),confidential,high,keyword 'CORIANDRO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2403
2910,ALFABAN SRL,ALFABAN S.R.L.,mixed,Alimentación animal; Transporte y Logística,TRANSPORTE; PELLET DE ALFALFA; FARDO DE ALFALFA,HS4,1214,,yes,107Z,Resto semillas y frutos oleaginosos,resto,high,keyword 'fardos' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2910
2910,ALFABAN SRL,ALFABAN S.R.L.,mixed,Alimentación animal; Transporte y Logística,TRANSPORTE; PELLET DE ALFALFA; FARDO DE ALFALFA,EBOPS,SC,Transport,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Transport),https://www.exportadoresdecordoba.com/single.php?search=2910
5148,ALFALFAR,OLOCCO GERMAN JULIO,goods,Alimentación animal; Cereales,MAÍZ; HENO DE ALFALFA,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5148
5148,ALFALFAR,OLOCCO GERMAN JULIO,goods,Alimentación animal; Cereales,MAÍZ; HENO DE ALFALFA,HS4,1214,,yes,107Z,Resto semillas y frutos oleaginosos,resto,high,keyword 'alfalfa' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5148
4039,ALFALFAS LIMENTOS,LIMENTOS S.A.S.,goods,Alimentación animal,FARDOS COMPRIMIDOS DE ALFALFA,HS4,1214,,yes,107Z,Resto semillas y frutos oleaginosos,resto,high,keyword 'fardos' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4039
4928,ALFASOUTH SAS,ALFA SOUTH SOCIEDAD POR ACCIONES SIMPLIFICADA,goods,Alimentación animal,FARDOS DE ALFALFA,HS4,1214,,yes,107Z,Resto semillas y frutos oleaginosos,resto,high,keyword 'fardos' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4928
1852,ALIMENTOS TANCACHA SA,ALIMENTOS TANCACHA S.A.,goods,Aceites; Alimentación animal; Cereales; Residuos Alimenticios,MAÍZ ENTERO; MAÍZ QUEBRADO; SOJA DESACTIVADA; ACEITE CRUDO DE SOJA; ACEITE DE SOJA REFINADO; EXPELLER DE SOJA; PREMEZCLAS CONSUMO ANIMAL; ALIMENTO BALANCEADO,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'maiz' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1852
1852,ALIMENTOS TANCACHA SA,ALIMENTOS TANCACHA S.A.,goods,Aceites; Alimentación animal; Cereales; Residuos Alimenticios,MAÍZ ENTERO; MAÍZ QUEBRADO; SOJA DESACTIVADA; ACEITE CRUDO DE SOJA; ACEITE DE SOJA REFINADO; EXPELLER DE SOJA; PREMEZCLAS CONSUMO ANIMAL; ALIMENTO BALANCEADO,HS4,1201,,yes,107A,Soja,clean,high,keyword 'soja' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1852
1852,ALIMENTOS TANCACHA SA,ALIMENTOS TANCACHA S.A.,goods,Aceites; Alimentación animal; Cereales; Residuos Alimenticios,MAÍZ ENTERO; MAÍZ QUEBRADO; SOJA DESACTIVADA; ACEITE CRUDO DE SOJA; ACEITE DE SOJA REFINADO; EXPELLER DE SOJA; PREMEZCLAS CONSUMO ANIMAL; ALIMENTO BALANCEADO,HS4,1507,,yes,208AA,Aceite de soja,clean,high,keyword 'aceite de soja' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1852
1852,ALIMENTOS TANCACHA SA,ALIMENTOS TANCACHA S.A.,goods,Aceites; Alimentación animal; Cereales; Residuos Alimenticios,MAÍZ ENTERO; MAÍZ QUEBRADO; SOJA DESACTIVADA; ACEITE CRUDO DE SOJA; ACEITE DE SOJA REFINADO; EXPELLER DE SOJA; PREMEZCLAS CONSUMO ANIMAL; ALIMENTO BALANCEADO,HS4,2309,,yes,212Z,Resto residuos alimenticios y prep. para animales,resto,high,keyword 'ALIMENTO BALANCEADO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=1852
4850,ALTOS DE BELGRANO,SANTARELLI OSCAR Y BONGIOVANNI LAURA,service,Turismo y Viajes,SERVICIO DE HOTELERÍA Y GASTRONOMÍA,EBOPS,SD,Travel,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Travel),https://www.exportadoresdecordoba.com/single.php?search=4850
3164,ALTOS TECHNOLOGIES,ALTOS TECHNOLOGIES S.A.,mixed,Diseño Industrial; Equipos de Precisión y Medición,DISEÑO A MEDIDA; REGISTRADORES DE PRESIÓN Y TEMPERATURA,EBOPS,SJ.234,"Architectural, engineering, technical (industrial design)",n/a (services),,,service,medium,"rubro-based mapping to EBOPS 2010 (Architectural, engineering, technical (industrial design))",https://www.exportadoresdecordoba.com/single.php?search=3164
4033,ALVICOR / LUCERITO,VITAL SOCIEDAD DE RESPONSABILIDAD LIMITADA,goods,Alimentación animal,MAÍZ PARTIDO; PELLET DE ALFALFA; ALIMENTO BALANCEADO PARA ANIMALES DE GRANJA,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4033
4033,ALVICOR / LUCERITO,VITAL SOCIEDAD DE RESPONSABILIDAD LIMITADA,goods,Alimentación animal,MAÍZ PARTIDO; PELLET DE ALFALFA; ALIMENTO BALANCEADO PARA ANIMALES DE GRANJA,HS4,1214,,yes,107Z,Resto semillas y frutos oleaginosos,resto,high,keyword 'ALFALFA' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4033
4033,ALVICOR / LUCERITO,VITAL SOCIEDAD DE RESPONSABILIDAD LIMITADA,goods,Alimentación animal,MAÍZ PARTIDO; PELLET DE ALFALFA; ALIMENTO BALANCEADO PARA ANIMALES DE GRANJA,HS4,2309,,yes,212Z,Resto residuos alimenticios y prep. para animales,resto,high,keyword 'ALIMENTO BALANCEADO' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=4033
2735,ANKA,ANKA S R L,goods,Cereales,MAÍZ PISINGALLO,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'maiz pisingallo' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2735
